,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2021-01-22,-0.0011390476784973735,-0.034171430354921206,834515.7085038888,30.236449465581344,-0.03444075756977358,853167.9671771895,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.04199144460131943
2021-01-25,0.004109277668374212,0.12327833005122635,937393.4114497643,31.314960425917423,0.12868186756424466,962955.2145395405,962955.2145395405,26716921.128814105,26716921.128814105,False,0.0
2021-01-26,0.0036577483767561425,0.10973245130268428,1040255.8883231326,30.0,0.10973245130268428,1068622.6507256664,1068622.6507256664,28888656.436186213,28888656.436186213,False,0.0
2021-01-27,0.002545805613266783,0.07637416839800348,1119704.5667149383,30.0,0.07637416839800348,1150237.8170061093,1150237.8170061093,32058679.521769993,32058679.521769993,False,0.0
2021-01-28,-0.0009776599929114393,-0.02932979978734318,1086863.8559522154,29.999999999999996,-0.029329799787343177,1116501.5721254894,1150237.8170061093,34507134.510183275,34507134.510183275,False,-0.02932979978734318
2021-01-29,0.0020644125109130496,0.06193237532739149,1154175.916208824,30.906480896835532,0.06380372583172245,1187738.532324071,1187738.532324071,34507134.510183275,34507134.510183275,False,0.0
2021-02-01,0.0016954385564846852,0.05086315669454056,1212880.9466880183,30.0,0.05086315669454056,1248150.663405814,1248150.663405814,35632155.96972213,35632155.96972213,False,0.0
2021-02-02,0.0013578388393868934,0.0407351651816068,1262287.8523969783,30.0,0.0407351651816068,1298994.2868511819,1298994.2868511819,37444519.90217442,37444519.90217442,False,0.0
2021-02-03,0.0027404261681738262,0.08221278504521479,1366064.052271277,30.0,0.08221278504521479,1405788.22493104,1405788.22493104,38969828.605535455,38969828.605535455,False,0.0
2021-02-04,0.0016881465416624941,0.05064439624987482,1435247.5414372133,30.0,0.05064439624987482,1476983.5208378558,1476983.5208378558,42173646.747931205,42173646.747931205,False,0.0
2021-02-05,0.0018674047292077667,0.056022141876233,1515653.1828311237,30.0,0.056022141876233,1559727.3011910922,1559727.3011910922,44309505.625135675,44309505.625135675,False,0.0
2021-02-08,0.0016907803603463112,0.050723410810389336,1592532.2818699407,30.0,0.050723410810389336,1638841.9898415878,1638841.9898415878,46791819.03573277,46791819.03573277,False,0.0
2021-02-09,0.0011835331179583797,0.03550599353875139,1649076.722780268,30.0,0.03550599353875139,1697030.7029439376,1697030.7029439376,49165259.695247635,49165259.695247635,False,0.0
2021-02-10,-0.002455563439070718,-0.07366690317212155,1527594.3475198143,30.000000000000004,-0.07366690317212156,1572015.7064700492,1697030.7029439376,50910921.08831813,50910921.08831813,False,-0.07366690317212155
2021-02-11,0.0007430129413252828,0.022290388239758485,1561645.0185988916,32.385758538404346,0.024063037708670205,1609843.1796934598,1697030.7029439376,50910921.08831813,50910921.08831814,False,-0.05137651493236306
2021-02-12,-0.0003530038410043401,-0.010590115230130204,1545107.0179033705,31.624770493491418,-0.011163665455083191,1591871.4290002147,1697030.7029439376,50910921.08831813,50910921.08831813,False,-0.061966630162493264
2021-02-15,-0.0015925988673723968,-0.0477779660211719,1471284.947302909,31.981804661380895,-0.05093418588024045,1510790.7537380736,1697030.7029439376,50910921.08831813,50910921.08831813,False,-0.10974459618366528
2021-02-16,0.0034807060818526914,0.10442118245558074,1624918.2612293756,33.69819477803382,0.11729351151135893,1687996.706402905,1697030.7029439376,50910921.08831813,50910921.08831814,False,-0.005323413728084425
2021-02-17,0.0035615273151330396,0.10684581945399119,1798533.9843961827,30.160557123839727,0.10741764803618557,1869317.3424975327,1869317.3424975327,50910921.08831813,50910921.08831813,False,0.0
2021-02-18,0.002928093480474292,0.08784280441422876,1956522.2534198402,30.0,0.08784280441422876,2033523.4202026695,2033523.4202026695,56079520.274925984,56079520.274925984,False,0.0
2021-02-19,0.001036935813959028,0.031108074418770837,2017385.8932812058,30.0,0.031108074418770837,2096782.4180906476,2096782.4180906476,61005702.606080085,61005702.606080085,False,0.0
2021-02-22,0.0029133803130398928,0.08740140939119678,2193708.2636399018,30.0,0.08740140939119678,2280044.1566184517,2280044.1566184517,62903472.542719424,62903472.542719424,False,0.0
2021-02-23,0.0006204070746604895,0.018612212239814685,2234538.027435003,30.0,0.018612212239814685,2322480.8223775835,2322480.8223775835,68401324.69855355,68401324.69855355,False,0.0
2021-02-24,0.0009471478058680205,0.028414434176040615,2298031.1611294146,30.0,0.028414434176040615,2388472.800830148,2388472.800830148,69674424.6713275,69674424.6713275,False,0.0
2021-02-25,-0.0012733492906970012,-0.038200478720910036,2210245.270658702,30.0,-0.038200478720910036,2297231.9964265637,2388472.800830148,71654184.02490444,71654184.02490444,False,-0.038200478720910036
2021-02-26,0.0012798091675501055,0.038394275026503166,2295106.0354564004,31.19153143277013,0.03991920787758649,2388935.678034959,2388935.678034959,71654184.02490444,71654184.02490444,False,0.0
2021-03-01,0.0007031990566717106,0.021095971700151317,2343523.527429235,29.999999999999996,0.021095971700151313,2439332.597492266,2439332.597492266,71668070.34104876,71668070.34104876,False,0.0
2021-03-02,-0.001631681197279633,-0.04895043591838899,2228807.0291765733,30.000000000000004,-0.048950435918389,2319926.2034950834,2439332.597492266,73179977.92476799,73179977.92476799,False,-0.04895043591838899
2021-03-03,0.0005120554175563896,0.015361662526691688,2263045.210595902,31.54409731418126,0.016152325921652475,2357398.4076481177,2439332.597492266,73179977.92476799,73179977.92476799,False,-0.03358877339169741
2021-03-04,0.00046318906872255816,0.013895672061676745,2294491.744703091,31.04268573667899,0.01437863269701938,2391294.5734722284,2439332.597492266,73179977.92476799,73179977.92476799,False,-0.019693101330020668
2021-03-05,0.00367898082395679,0.1103694247187037,2547733.4785877857,30.60266131014907,0.11258660412208281,2660522.308955031,2660522.308955031,73179977.92476799,73179977.92476799,False,0.0
2021-03-08,0.002131537242775705,0.06394611728327115,2710651.1424160767,30.0,0.06394611728327115,2830652.3805582286,2830652.3805582286,79815669.26865093,79815669.26865093,False,0.0
2021-03-09,0.0006193628428150522,0.018580885284451565,2761017.4403394777,30.0,0.018580885284451565,2883248.407721541,2883248.407721541,84919571.41674685,84919571.41674685,False,0.0
2021-03-10,0.0010259338077038826,0.03077801423111648,2845996.0744106066,30.0,0.03077801423111648,2971989.0682462384,2971989.0682462384,86497452.23164622,86497452.23164622,False,0.0
2021-03-11,0.0006754935274435603,0.02026480582330681,2903669.632232431,30.0,0.02026480582330681,3032215.849623239,3032215.849623239,89159672.04738715,89159672.04738715,False,0.0
2021-03-12,0.0002521780346425029,0.007565341039275086,2925636.883265656,30.0,0.007565341039275086,3055155.5966303344,3055155.5966303344,90966475.48869717,90966475.48869717,False,0.0
2021-03-15,-0.0012544358562963653,-0.03763307568889096,2815536.1689995085,30.0,-0.03763307568889096,2940180.694821006,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.03763307568889096
2021-03-16,0.00034100589169194784,0.010230176750758435,2844339.6016565263,31.17314118154559,0.010630224805451933,2971435.4765756032,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.027402898938132525
2021-03-17,-0.0006783077041085939,-0.020349231123257816,2786459.477709383,30.845249247860632,-0.020922570199973678,2909265.409222258,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.04775213006139045
2021-03-18,-0.0015420243435481096,-0.04626073030644329,2657555.8273012363,31.504402316945132,-0.04858055530166286,2767931.680122321,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.09401286036783374
2021-03-19,0.0014754823786260474,0.04426447135878142,2775191.1311031743,33.113052810197836,0.04885772592396063,2903166.527525985,3055155.5966303344,91654667.89891003,91654667.89891005,False,-0.04974838900905232
2021-03-22,0.0012699987807267554,0.03809996342180266,2880925.8116867165,31.57058578276463,0.04009460545094052,3019567.8440055167,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.011648425587249656
2021-03-23,-0.002460872889992416,-0.07382618669977248,2668238.0448449394,30.353571316790912,-0.07469628076794216,2794017.356531831,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.08547461228702202
2021-03-24,0.000389599241921168,0.01168797725763504,2699424.3504310437,32.80390069325822,0.012780374842150681,2829725.945663783,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.07378663502938698
2021-03-25,0.0023053922382059167,0.0691617671461775,2886121.308784277,32.389945054347,0.0746715279242077,3041025.9056332707,3055155.5966303344,91654667.89891003,91654667.89891003,False,-0.0046248678832095935
2021-03-26,0.0024142103456368247,0.07242631036910474,3095152.4264571737,30.13939070006825,0.07276282883929507,3262299.5531007266,3262299.5531007266,91654667.89891003,91654667.89891003,False,0.0
2021-03-29,0.0023570189191273183,0.07071056757381955,3314012.411259445,30.0,0.07071056757381955,3492978.606096297,3492978.606096297,97868986.5930218,97868986.5930218,False,0.0
2021-03-30,0.0006664196469150507,0.019992589407451522,3380268.1006889534,30.0,0.019992589407451522,3562812.293176993,3562812.293176993,104789358.18288891,104789358.18288891,False,0.0
2021-03-31,-0.000847799765424706,-0.02543399296274118,3294294.385603852,30.0,-0.02543399296274118,3472195.7503847615,3562812.293176993,106884368.79530978,106884368.79530978,False,-0.02543399296274118
2021-04-01,-0.0012566198735444178,-0.037698596206332535,3170104.1117761843,30.78293289871854,-0.03868244524651399,3337882.7283853246,3562812.293176993,106884368.79530978,106884368.79530978,False,-0.0631325891690736
2021-04-02,0.0011900648135534375,0.035701944406603126,3283282.9925379613,32.0216069565195,0.03810778771239184,3465082.054807492,3562812.293176993,106884368.79530978,106884368.7953098,False,-0.02743064476247048
2021-04-05,0.0012494697896610063,0.03748409368983019,3406353.8798404806,30.846129212731704,0.0385413065792881,3598630.8446042174,3598630.8446042174,106884368.79530978,106884368.79530978,False,0.0
2021-04-06,0.002804959304597565,0.08414877913792695,3692994.4001407973,30.0,0.08414877913792695,3901451.236745749,3901451.236745749,107958925.33812653,107958925.33812653,False,0.0
2021-04-07,0.002484014793398215,0.07452044380194645,3968197.9817973925,30.0,0.07452044380194645,4192189.114379695,4192189.114379695,117043537.10237247,117043537.10237247,False,0.0
2021-04-08,0.0003732492489489925,0.011197477468469774,4012631.7892889953,30.0,0.011197477468469774,4239131.057531526,4239131.057531526,125765673.43139085,125765673.43139085,False,0.0
2021-04-09,-0.0015315599604142083,-0.04594679881242625,3828264.203758188,30.0,-0.04594679881242625,4044356.5556916175,4239131.057531526,127173931.72594579,127173931.72594579,False,-0.04594679881242625
2021-04-12,5.313334561063421e-05,0.0015940003683190263,3834366.4583090013,31.44478731653224,0.0016707667521421944,4051113.732158676,4239131.057531526,127173931.72594579,127173931.72594579,False,-0.04435279844410711
2021-04-13,0.0009718746413562851,0.029156239240688553,3946162.1641039304,31.392338041859887,0.030509417275767843,4174710.851444698,4239131.057531526,127173931.72594579,127173931.72594579,False,-0.015196559203418558
2021-04-14,0.0002535923806650242,0.007607771419950726,3976183.663834491,30.462931745784513,0.007725167383449636,4206961.191549611,4239131.057531526,127173931.72594579,127173931.72594579,False,-0.007588787783468054
2021-04-15,-0.0003901688703646933,-0.011705066110940798,3929642.1711800657,30.229404535843116,-0.011794572619547243,4157341.8822682626,4239131.057531526,127173931.72594579,127173931.72594579,False,-0.01929385389440874
2021-04-16,0.0010329494416809748,0.030988483250429244,4051415.8217818593,30.590202905458227,0.03159813301210081,4288706.124040953,4288706.124040953,127173931.72594579,127173931.72594579,False,0.0
