policy,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_dd,max_dd_date,avg_dd,longest_dd_days,pct_time_in_dd,calmar,best_day,worst_day,worst_day_date,worst_day_pnl,worst_5d,win_rate,profit_factor,avg_leverage,max_leverage,days_above_base,days_at_cap,min_notional,max_notional,final_notional
Unlevered 1x,1420792.8499999905,0.894390466666654,0.1314136300471631,0.027387366317324986,4.522987027387165,7.815826556931354,-0.015485097528560532,2025-08-25,-0.003327670219991075,67,0.6549079754601227,8.486458015830081,0.0060451168033717195,-0.005649965384200262,2021-10-26,-6365.85,-0.012842851665330501,0.625,2.0428144223419813,1.0,1.0,0,0,747415.21,1420914.8899999904,1420914.8899999904
Static 30x,26564456677411.035,35419274.56988138,27.767501582177566,0.8216209895197496,4.522987027387165,7.815826556931355,-0.41304194671317984,2025-08-25,-0.10298102065562995,80,0.6733128834355828,67.22683205214403,0.18135350410115159,-0.16949896152600785,2021-10-26,-1692100174850.7625,-0.3332234523184282,0.625,2.0428144223419813,30.0,30.0,0,0,20110068.894017477,798992423953959.5,798992423953959.5
Dynamic 30→50x,90753210757812.86,121004280.01041715,35.47654022446617,0.8923190345172827,4.5009309896332494,7.789473985258166,-0.4637852727905173,2025-08-25,-0.10000576225642026,67,0.6549079754601227,76.49346002517468,0.21215857415807224,-0.1872794108770502,2021-10-26,-5398135669627.54,-0.39458545696803426,0.625,2.044147916231061,32.42163589738035,50.0,853,4,22500000.0,2729629622225587.0,2729629622225587.0
