,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2021-01-01,0.001982160000000066,0.06937560000000231,802031.7000000017,35.0,0.06937560000000231,802031.7000000017,802031.7000000017,26250000.0,26250000.0,False,0.0
2021-01-04,-0.0021750753193716665,-0.07612763617800833,740974.9225391721,35.0,-0.07612763617800833,740974.922539172,802031.7000000017,28071109.50000006,28071109.50000006,False,-0.07612763617800844
2021-01-05,-0.0032498009474082323,-0.11374303315928813,656694.1873545981,37.884020964982206,-0.1231155272236325,649749.4042912716,802031.7000000017,28071109.50000006,28071109.50000006,False,-0.18987066933729646
2021-01-06,0.002315740938694688,0.08105093285431408,709919.8638396941,43.20297843230689,0.10004690582923673,714754.8217550032,802031.7000000017,28071109.50000006,28071109.500000056,False,-0.10881973648298227
2021-01-07,0.0026343328549709444,0.09220164992398305,775375.6465995231,39.27376024001417,0.10346015693852088,788703.4677863404,802031.7000000017,28071109.50000006,28071109.50000006,False,-0.016618086558999212
2021-01-08,-0.001148565528578449,-0.04019979350024572,744205.7057211028,35.59146199621442,-0.0408791263605618,756461.9590656894,802031.7000000017,28071109.50000006,28071109.50000006,False,-0.05681788005924482
2021-01-11,-0.0025861277742198485,-0.0905144720976947,676844.3191356648,37.10842186257568,-0.09596712043627402,683866.4831345726,802031.7000000017,28071109.50000006,28071109.500000056,False,-0.1473323521569394
2021-01-12,0.0007694070006949438,0.026929245024323034,695071.2256489904,41.04764627640944,0.03158234640711916,705464.591301147,802031.7000000017,28071109.50000006,28071109.500000056,False,-0.12040310713261648
2021-01-13,0.002194280747865207,0.07679982617528225,748452.5749582732,39.790954565453355,0.08731252554215346,767060.4864482132,802031.7000000017,28071109.50000006,28071109.50000006,False,-0.043603280957334234
2021-01-14,0.0036790260182195667,0.12876591063768483,844827.7523418952,36.5956922510507,0.1346365039463717,870334.828659004,870334.828659004,28071109.50000006,28071109.500000056,False,0.0
2021-01-15,0.0014841825169478184,0.051946388093173645,888713.5026369309,35.0,0.051946388093173645,915545.5794395304,915545.5794395304,30461719.00306514,30461719.00306514,False,0.0
2021-01-18,-3.6995559220653895e-05,-0.0012948445727228863,887562.7567813359,35.0,-0.0012948445727228863,914360.0902149127,915545.5794395304,32044095.280383565,32044095.280383565,False,-0.0012948445727228863
2021-01-19,-0.000930159238171302,-0.03255557333599557,858667.6423626428,35.04537831791397,-0.032597782397615925,884553.9789610225,915545.5794395304,32044095.280383565,32044095.280383565,False,-0.033850417908718455
2021-01-20,0.0006193699476091385,0.02167794816631985,877281.7950058762,36.22627453219062,0.022437465759077176,904401.1285760158,915545.5794395304,32044095.280383565,32044095.28038357,False,-0.012172469742398717
2021-01-21,8.711770823621734e-05,0.003049119788267607,879956.7322869156,35.43128625993331,0.0030866924588267663,907192.7367193459,915545.5794395304,32044095.280383565,32044095.28038357,False,-0.009123349954131
2021-01-22,-0.0011390476784973735,-0.039866668747408074,844875.7887287815,35.32225731465143,-0.040233735193540586,870692.9843806764,915545.5794395304,32044095.280383565,32044095.280383565,False,-0.04899001870153907
2021-01-25,0.004109277668374212,0.1438247183930974,966389.8111198446,36.80297861039563,0.15123365813335252,1002371.069519612,1002371.069519612,32044095.280383565,32044095.28038357,False,0.0
2021-01-26,0.0036577483767561425,0.128021193186465,1090108.1878226495,35.0,0.128021193186465,1130695.8098551058,1130695.8098551058,35082987.43318642,35082987.43318642,False,0.0
