policy,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_dd,max_dd_date,avg_dd,longest_dd_days,pct_time_in_dd,calmar,best_day,worst_day,worst_day_date,worst_day_pnl,worst_5d,win_rate,profit_factor,avg_leverage,max_leverage,days_above_base,days_at_cap,min_notional,max_notional,final_notional
Unlevered 1x,10586147.65999999,0.05861476599999915,0.10559011003010266,0.03182271666297817,3.170718729688154,6.353053066526088,-0.008535425506255634,2026-05-05,-0.0029114982073529367,46,0.7832167832167832,12.37080798757079,0.010192372414599138,-0.0039962870885356105,2026-02-03,-40883.39000000004,-0.007056356745500314,0.5804195804195804,1.8319259076056928,1.0,1.0,0,0,9994084.29,10590131.409999993,10589603.959999993
Static 30x,43397295.68741183,3.339729568741183,12.284976305117027,0.954681499889345,3.1707187296881547,6.353053066526089,-0.2367035075829691,2026-05-05,-0.09117504538410079,47,0.7972027972027972,51.90027148546123,0.30577117243797414,-0.11988861265606832,2026-02-03,-3534888.3100072346,-0.19926385160014837,0.5804195804195804,1.831925907605693,30.0,30.0,0,0,294675860.99999934,1326811267.1823132,1314792774.9302728
Static 35x,52960750.731970705,4.296075073197071,17.87032199267885,1.1137950832042358,3.1707187296881543,6.353053066526087,-0.27229679783274574,2026-05-05,-0.10640866735063194,48,0.8041958041958042,65.62810189070026,0.3567330345109698,-0.13987004809874637,2026-02-03,-5056710.390240536,-0.2299962321239971,0.5804195804195804,1.8319259076056935,35.0,35.0,0,0,342753255.24999917,1898023284.5419898,1875045890.5316203
Static 32.36x (avg-matched),47743647.95677602,3.7743647956776023,14.718485768081717,1.0297120408057063,3.1707187296881547,6.35305306652609,-0.25362326373843846,2026-05-05,-0.09876560537541897,47,0.7972027972027972,58.032869505460205,0.3298024084756583,-0.1293109251847384,2026-02-03,-4203680.123661416,-0.213843232099159,0.5804195804195804,1.8319259076056926,32.357766676898784,32.35776667689878,0,0,317383770.1257586,1577840560.3126087,1561367622.1487026
Dynamic 30→60x,49697976.77115668,3.969797677115668,15.869972237151142,1.0060302634915528,3.2959179699951346,6.740113597663809,-0.2567335652433447,2026-05-05,-0.08792612103303636,38,0.7762237762237763,61.81494898070225,0.30577117243797414,-0.11988861265606832,2026-02-03,-4016451.579449663,-0.2121220782787725,0.5804195804195804,1.8627579298225272,32.35776667689878,40.36237693125745,111,0,300000000.0,1507564806.112673,1507564806.112673
