policy,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_dd,max_dd_date,avg_dd,longest_dd_days,pct_time_in_dd,calmar,best_day,worst_day,worst_day_date,worst_day_pnl,worst_5d,win_rate,profit_factor,avg_leverage,max_leverage,days_above_base,days_at_cap,min_notional,max_notional,final_notional
Unlevered 1x,1081923.3959504466,0.08192339595044662,0.07898975772747718,0.025510973097632554,2.9932534312400145,4.798085455799052,-0.015485097528561087,2025-08-25,-0.004239984146535116,67,0.7509578544061303,5.101017774139722,0.004392596976953378,-0.004620821922915241,2025-07-09,-4847.548360136528,-0.007845159381544842,0.5900383141762452,1.6000062343276857,1.0,1.0,0,0,998083.1705534791,1082016.328520625,1082016.328520625
Static 30x,7860658.4044998465,6.860658404499847,6.321179077428136,0.7653291929289766,2.993253431240014,4.798085455799051,-0.41304194671317995,2025-08-25,-0.1331624082223951,80,0.7777777777777778,15.303963986538198,0.13177790930860134,-0.13862465768745724,2025-07-09,-500707.45365580084,-0.21723527631264272,0.5900383141762452,1.6000062343276857,30.0,30.0,0,0,28084388.068620775,236428946.72210938,236428946.72210938
Dynamic 30→56.1816x,10094727.323019749,9.094727323019749,8.321174553531083,0.8693495378182016,3.009712765726763,5.019549593037738,-0.4660173857608899,2025-08-25,-0.1274909590007274,66,0.7471264367816092,17.85593157633955,0.2262659673591818,-0.1463454702403508,2025-07-09,-594223.3570627753,-0.28589248810709533,0.5900383141762452,1.6139964380254834,33.781618495347324,56.181604419364874,194,0,30000000.0,303624152.78880405,303624152.78880405
