policy,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_dd,max_dd_date,avg_dd,longest_dd_days,pct_time_in_dd,calmar,best_day,worst_day,worst_day_date,worst_day_pnl,worst_5d,win_rate,profit_factor,avg_leverage,max_leverage,days_above_base,days_at_cap,min_notional,max_notional,final_notional
Unlevered 1x,1420792.8499999905,0.894390466666654,0.1314136300471631,0.027387366317324986,4.522987027387165,7.815826556931354,-0.015485097528560532,2025-08-25,-0.003327670219991075,67,0.6549079754601227,8.486458015830081,0.0060451168033717195,-0.005649965384200262,2021-10-26,-6365.85,-0.012842851665330501,0.625,2.0428144223419813,1.0,1.0,0,0,747415.21,1420914.8899999904,1420914.8899999904
Static 30x,26564456677411.035,35419274.56988138,27.767501582177566,0.8216209895197496,4.522987027387165,7.815826556931355,-0.41304194671317984,2025-08-25,-0.10298102065562995,80,0.6733128834355828,67.22683205214403,0.18135350410115159,-0.16949896152600785,2021-10-26,-1692100174850.7625,-0.3332234523184282,0.625,2.0428144223419813,30.0,30.0,0,0,20110068.894017477,798992423953959.5,798992423953959.5
Static 35x,338549328547526.94,451399103.7300359,46.04431268178058,0.9585578211063744,4.522987027387165,7.8158265569313565,-0.47010292332524906,2025-08-25,-0.12026095137983984,80,0.678680981595092,97.94517412503731,0.21157908811801018,-0.19774878844700916,2021-10-26,-22937277994950.06,-0.3791454729340532,0.625,2.0428144223419813,35.0,35.0,0,0,22984296.557410933,1.1884953756180274e+16,1.1884953756180274e+16
Static 32.41x (avg-matched),91923812426135.6,122565082.23484746,35.56699586937593,0.8877465497616053,4.522987027387164,7.815826556931352,-0.4410458964416737,2025-08-25,-0.1113732286509106,80,0.6756134969325154,80.64239154321098,0.19594916586427413,-0.18314054801696567,2021-10-26,-6044120560603.37,-0.3557137365584111,0.625,2.0428144223419813,32.414454879512284,32.414454879512284,0,0,21515391.35677142,2987978872857482.5,2987978872857482.5
Dynamic 30→60x,91779281673562.9,122372374.56475054,35.55587803806072,0.8931695687205841,4.499781954592854,7.797100899910612,-0.46601738576088947,2025-08-25,-0.09973309906710144,66,0.6541411042944786,76.29732092506998,0.22626596735918167,-0.1872794108770502,2021-10-26,-5402562260449.468,-0.39458545696803426,0.625,2.045033708177097,32.414454879512284,56.18160441936484,852,0,22500000.0,2760491269353529.5,2760491269353529.5
