,unlevered_ret,static35_ret,static35_equity,static35_notional,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,static35_drawdown,dyn_drawdown
2021-01-01,0.001982160000000066,0.06937560000000231,802031.7000000017,26250000.0,30.0,0.05946480000000198,794598.6000000015,794598.6000000015,22500000.0,22500000.0,False,0.0,0.0
2021-01-04,-0.0021750753193716665,-0.07612763617800833,740974.9225391721,28071109.50000006,30.0,-0.06525225958115,742749.245889983,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.07612763617800822,-0.06525225958115
2021-01-05,-0.0032498009474082323,-0.11374303315928813,656694.1873545981,25934122.288871024,32.094220400637006,-0.10429982786431877,665280.6273973052,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.18121168109116303,-0.16274628800339697
2021-01-06,0.002315740938694688,0.08105093285431408,709919.8638396941,22984296.557410933,35.83143265911459,0.08297631550079353,720483.1626327898,794598.6000000015,23837958.000000045,23837958.00000005,False,-0.11484812403338596,-0.09327405984255643
2021-01-07,0.0026343328549709444,0.09220164992398305,775375.6465995231,24847195.234389294,33.086072286396494,0.08715972726599791,783280.2785876073,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.03323566063595551,-0.014244074193428213
2021-01-08,-0.001148565528578449,-0.04019979350024572,744205.7057211028,27138147.63098331,30.4334969890779,-0.03495486555575089,755900.8217571063,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.07209938744179167,-0.048701040050781685
2021-01-11,-0.0025861277742198485,-0.0905144720976947,676844.3191356648,26047199.700238597,31.535827603134816,-0.0815556796474759,694252.81649262,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.15608782154662537,-0.12628487327737714
2021-01-12,0.0007694070006949438,0.026929245024323034,695071.2256489904,23689551.16974827,34.336134378870675,0.026418462167905433,712593.908260092,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.1333619037140441,-0.10320266325652894
2021-01-13,0.002194280747865207,0.07679982617528225,748452.5749582732,24327492.897714663,33.45237409930166,0.07340390045648232,764901.0805679115,794598.6000000015,23837958.000000045,23837958.000000045,False,-0.06680424856240519,-0.037374240820572724
2021-01-14,0.0036790260182195667,0.12876591063768483,844827.7523418952,26195840.123539563,31.16475921605604,0.11465596000741819,852601.5482711369,852601.5482711369,23837958.000000045,23837958.000000045,False,0.0,0.0
2021-01-15,0.0014841825169478184,0.051946388093173645,888713.5026369309,29568971.331966333,30.0,0.04452547550843455,890564.0376271368,890564.0376271368,25578046.44813411,25578046.44813411,False,0.0,0.0
2021-01-18,-3.6995559220653895e-05,-0.0012948445727228863,887562.7567813359,31104972.59229258,30.0,-0.0011098667766196169,889575.6301893222,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.0012948445727228863,-0.0011098667766197279
2021-01-19,-0.000930159238171302,-0.03255557333599557,858667.6423626428,31064696.487346757,30.033332998486177,-0.027935782141616926,864724.6391858617,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.03380826350127242,-0.029014643921758676
2021-01-20,0.0006193699476091385,0.02167794816631985,877281.7950058762,30053367.4826925,30.89644948011206,0.019136332295805403,881272.2972256928,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.012863209118726404,-0.01043354549348452
2021-01-21,8.711770823621734e-05,0.003049119788267607,879956.7322869156,30704862.82520567,30.31630656372707,0.0026410871500184958,883599.8141655627,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.00985331079592322,-0.00782001424639811
2021-01-22,-0.0011390476784973735,-0.039866668747408074,844875.7887287815,30798485.630042046,30.236449465581344,-0.03444075756977358,853167.9671771895,890564.0376271368,26716921.128814105,26716921.128814105,False,-0.04932716086576505,-0.04199144460131943
2021-01-25,0.004109277668374212,0.1438247183930974,966389.8111198446,29570652.60550735,31.314960425917423,0.12868186756424466,962955.2145395405,962955.2145395405,26716921.128814105,26716921.128814105,False,0.0,0.0
2021-01-26,0.0036577483767561425,0.128021193186465,1090108.1878226495,33823643.38919456,30.0,0.10973245130268428,1068622.6507256664,1068622.6507256664,28888656.436186213,28888656.436186213,False,0.0,0.0
2021-01-27,0.002545805613266783,0.0891031964643374,1187240.3118495939,38153786.57379273,30.0,0.07637416839800348,1150237.8170061093,1150237.8170061093,32058679.521769993,32058679.521769993,False,0.0,0.0
2021-01-28,-0.0009776599929114393,-0.03421809975190038,1146615.2044292472,41553410.91473579,29.999999999999996,-0.029329799787343177,1116501.5721254894,1150237.8170061093,34507134.510183275,34507134.510183275,False,-0.03421809975190038,-0.02932979978734318
2021-01-29,0.0020644125109130496,0.07225443788195673,1229463.2414921874,40131532.15502365,30.906480896835532,0.06380372583172245,1187738.532324071,1187738.532324071,34507134.510183275,34507134.510183275,False,0.0,0.0
2021-02-01,0.0016954385564846852,0.05934034947696398,1302420.0199114147,43031213.45222656,30.0,0.05086315669454056,1248150.663405814,1248150.663405814,35632155.96972213,35632155.96972213,False,0.0,0.0
2021-02-02,0.0013578388393868934,0.04752435937854127,1364316.6969994917,45584700.69689952,30.0,0.0407351651816068,1298994.2868511819,1298994.2868511819,37444519.90217442,37444519.90217442,False,0.0,0.0
2021-02-03,0.0027404261681738262,0.09591491588608392,1495175.0182341777,47751084.39498221,30.0,0.08221278504521479,1405788.22493104,1405788.22493104,38969828.605535455,38969828.605535455,False,0.0,0.0
2021-02-04,0.0016881465416624941,0.059085128958187294,1583517.627001604,52331125.63819622,30.0,0.05064439624987482,1476983.5208378558,1476983.5208378558,42173646.747931205,42173646.747931205,False,0.0,0.0
2021-02-05,0.0018674047292077667,0.06535916552227183,1687015.0176922372,55423116.94505614,30.0,0.056022141876233,1559727.3011910922,1559727.3011910922,44309505.625135675,44309505.625135675,False,0.0,0.0
