,,,,,,
,Date,NAV,Daily ROI%,Daily P&L,Drawdown,Log Return
,2024-11-22,"$1,288,853.10",-0.05%,-$676.49,-0.17%,-0.0005
,2024-11-25,"$1,288,377.28",-0.04%,-$475.82,-0.21%,-0.0004
,2024-11-26,"$1,291,575.90",0.25%,"$3,198.62",0.00%,0.0025
,2024-11-27,"$1,293,741.72",0.17%,"$2,165.83",0.00%,0.0017
,2024-11-28,"$1,298,307.19",0.35%,"$4,565.47",0.00%,0.0035
,2024-11-29,"$1,304,129.10",0.45%,"$5,821.91",0.00%,0.0045
,2024-12-02,"$1,302,608.67",-0.12%,"-$1,520.43",-0.12%,-0.0012
,2024-12-03,"$1,303,547.06",0.07%,$938.38,-0.04%,0.0007
,2024-12-04,"$1,301,702.45",-0.14%,"-$1,844.61",-0.19%,-0.0014
,2024-12-05,"$1,300,749.24",-0.07%,-$953.21,-0.26%,-0.0007
,2024-12-06,"$1,300,125.44",-0.05%,-$623.80,-0.31%,-0.0005
,2024-12-09,"$1,298,550.80",-0.12%,"-$1,574.64",-0.43%,-0.0012
,2024-12-10,"$1,296,989.79",-0.12%,"-$1,561.01",-0.55%,-0.0012
,2024-12-11,"$1,297,447.11",0.04%,$457.32,-0.51%,0.0004
,2024-12-12,"$1,295,521.08",-0.15%,"-$1,926.03",-0.66%,-0.0015
,2024-12-13,"$1,298,166.95",0.20%,"$2,645.87",-0.46%,0.0020
,2024-12-16,"$1,296,904.68",-0.10%,"-$1,262.27",-0.55%,-0.0010
,2024-12-17,"$1,303,924.23",0.54%,"$7,019.55",-0.02%,0.0054
,2024-12-18,"$1,303,698.05",-0.02%,-$226.18,-0.03%,-0.0002
,2024-12-19,"$1,304,640.79",0.07%,$942.74,0.00%,0.0007
,2024-12-20,"$1,302,528.38",-0.16%,"-$2,112.42",-0.16%,-0.0016
,2024-12-23,"$1,307,116.26",0.35%,"$4,587.88",0.00%,0.0035
,2024-12-24,"$1,310,406.87",0.25%,"$3,290.61",0.00%,0.0025
,2024-12-25,"$1,311,859.30",0.11%,"$1,452.42",0.00%,0.0011
,2024-12-26,"$1,309,619.55",-0.17%,"-$2,239.75",-0.17%,-0.0017
,2024-12-27,"$1,310,877.61",0.10%,"$1,258.06",-0.07%,0.0010
,2024-12-30,"$1,309,145.61",-0.13%,"-$1,732.00",-0.21%,-0.0013
,2024-12-31,"$1,313,210.21",0.31%,"$4,064.60",0.00%,0.0031
,2025-01-01,"$1,315,818.12",0.20%,"$2,607.92",0.00%,0.0020
,2025-01-02,"$1,316,822.42",0.08%,"$1,004.29",0.00%,0.0008
,2025-01-03,"$1,312,116.43",-0.36%,"-$4,705.99",-0.36%,-0.0036
,2025-01-06,"$1,310,693.01",-0.11%,"-$1,423.42",-0.47%,-0.0011
,2025-01-07,"$1,313,023.28",0.18%,"$2,330.27",-0.29%,0.0018
,2025-01-08,"$1,316,538.80",0.27%,"$3,515.52",-0.02%,0.0027
,2025-01-09,"$1,319,829.84",0.25%,"$3,291.04",0.00%,0.0025
,2025-01-10,"$1,317,022.10",-0.21%,"-$2,807.75",-0.21%,-0.0021
,2025-01-13,"$1,318,492.31",0.11%,"$1,470.22",-0.10%,0.0011
,2025-01-14,"$1,321,576.71",0.23%,"$3,084.40",0.00%,0.0023
,2025-01-15,"$1,318,615.10",-0.22%,"-$2,961.61",-0.22%,-0.0022
,2025-01-16,"$1,319,388.10",0.06%,$773.00,-0.17%,0.0006
,2025-01-17,"$1,320,798.33",0.11%,"$1,410.23",-0.06%,0.0011
,2025-01-20,"$1,320,910.00",0.01%,$111.67,-0.05%,0.0001
,2025-01-21,"$1,317,511.32",-0.26%,"-$3,398.69",-0.31%,-0.0026
,2025-01-22,"$1,317,566.44",0.00%,$55.13,-0.30%,0.0000
,2025-01-23,"$1,317,617.94",0.00%,$51.50,-0.30%,0.0000
,2025-01-24,"$1,318,073.98",0.03%,$456.04,-0.27%,0.0003
,2025-01-27,"$1,317,592.27",-0.04%,-$481.71,-0.30%,-0.0004
,2025-01-28,"$1,317,382.62",-0.02%,-$209.65,-0.32%,-0.0002
,2025-01-29,"$1,318,083.13",0.05%,$700.51,-0.26%,0.0005
,2025-01-30,"$1,319,872.67",0.14%,"$1,789.54",-0.13%,0.0014
,2025-01-31,"$1,319,975.98",0.01%,$103.32,-0.12%,0.0001
,2025-02-03,"$1,319,841.39",-0.01%,-$134.59,-0.13%,-0.0001
,2025-02-04,"$1,320,841.78",0.08%,"$1,000.39",-0.06%,0.0008
,2025-02-05,"$1,317,287.71",-0.27%,"-$3,554.07",-0.32%,-0.0027
,2025-02-06,"$1,319,154.20",0.14%,"$1,866.49",-0.18%,0.0014
,2025-02-07,"$1,319,944.10",0.06%,$789.90,-0.12%,0.0006
,2025-02-10,"$1,320,825.50",0.07%,$881.40,-0.06%,0.0007
,2025-02-11,"$1,323,791.41",0.22%,"$2,965.91",0.00%,0.0022
,2025-02-12,"$1,320,157.06",-0.27%,"-$3,634.35",-0.27%,-0.0027
,2025-02-13,"$1,316,485.16",-0.28%,"-$3,671.90",-0.55%,-0.0028
,2025-02-14,"$1,317,892.20",0.11%,"$1,407.04",-0.45%,0.0011
,2025-02-17,"$1,318,666.55",0.06%,$774.35,-0.39%,0.0006
,2025-02-18,"$1,319,841.84",0.09%,"$1,175.29",-0.30%,0.0009
,2025-02-19,"$1,319,588.61",-0.02%,-$253.23,-0.32%,-0.0002
,2025-02-20,"$1,321,881.79",0.17%,"$2,293.18",-0.14%,0.0017
,2025-02-21,"$1,324,786.45",0.22%,"$2,904.66",0.00%,0.0022
,2025-02-24,"$1,326,679.33",0.14%,"$1,892.88",0.00%,0.0014
,2025-02-25,"$1,326,882.26",0.02%,$202.93,0.00%,0.0002
,2025-02-26,"$1,322,887.41",-0.30%,"-$3,994.85",-0.30%,-0.0030
,2025-02-27,"$1,325,423.99",0.19%,"$2,536.58",-0.11%,0.0019
,2025-02-28,"$1,328,992.80",0.27%,"$3,568.81",0.00%,0.0027
,2025-03-03,"$1,331,257.25",0.17%,"$2,264.45",0.00%,0.0017
,2025-03-04,"$1,330,049.71",-0.09%,"-$1,207.54",-0.09%,-0.0009
,2025-03-05,"$1,332,382.58",0.18%,"$2,332.86",0.00%,0.0018
,2025-03-06,"$1,335,145.73",0.21%,"$2,763.15",0.00%,0.0021
,2025-03-07,"$1,339,511.67",0.33%,"$4,365.94",0.00%,0.0033
,2025-03-10,"$1,338,304.75",-0.09%,"-$1,206.92",-0.09%,-0.0009
,2025-03-11,"$1,338,588.26",0.02%,$283.51,-0.07%,0.0002
,2025-03-12,"$1,341,104.59",0.19%,"$2,516.32",0.00%,0.0019
,2025-03-13,"$1,342,040.82",0.07%,$936.23,0.00%,0.0007
,2025-03-14,"$1,340,277.08",-0.13%,"-$1,763.74",-0.13%,-0.0013
,2025-03-17,"$1,342,032.84",0.13%,"$1,755.76",0.00%,0.0013
,2025-03-18,"$1,344,168.02",0.16%,"$2,135.18",0.00%,0.0016
,2025-03-19,"$1,345,176.74",0.08%,"$1,008.72",0.00%,0.0008
,2025-03-20,"$1,346,489.51",0.10%,"$1,312.77",0.00%,0.0010
,2025-03-21,"$1,346,700.36",0.02%,$210.86,0.00%,0.0002
,2025-03-24,"$1,350,918.29",0.31%,"$4,217.93",0.00%,0.0031
,2025-03-25,"$1,349,644.21",-0.09%,"-$1,274.08",-0.09%,-0.0009
,2025-03-26,"$1,349,095.82",-0.04%,-$548.39,-0.13%,-0.0004
,2025-03-27,"$1,349,930.34",0.06%,$834.52,-0.07%,0.0006
,2025-03-28,"$1,352,772.50",0.21%,"$2,842.15",0.00%,0.0021
,2025-03-31,"$1,350,113.98",-0.20%,"-$2,658.52",-0.20%,-0.0020
,2025-04-01,"$1,347,893.35",-0.16%,"-$2,220.63",-0.36%,-0.0016
,2025-04-02,"$1,343,996.77",-0.29%,"-$3,896.57",-0.65%,-0.0029
,2025-04-03,"$1,344,878.12",0.07%,$881.35,-0.58%,0.0007
,2025-04-04,"$1,343,108.40",-0.13%,"-$1,769.72",-0.71%,-0.0013
,2025-04-07,"$1,343,029.19",-0.01%,-$79.21,-0.72%,-0.0001
,2025-04-08,"$1,345,356.26",0.17%,"$2,327.06",-0.55%,0.0017
,2025-04-09,"$1,344,684.65",-0.05%,-$671.60,-0.60%,-0.0005
,2025-04-10,"$1,346,023.89",0.10%,"$1,339.23",-0.50%,0.0010
,2025-04-11,"$1,346,140.98",0.01%,$117.10,-0.49%,0.0001
,2025-04-14,"$1,348,498.20",0.18%,"$2,357.21",-0.32%,0.0017
,2025-04-15,"$1,350,404.51",0.14%,"$1,906.31",-0.18%,0.0014
,2025-04-16,"$1,349,613.82",-0.06%,-$790.69,-0.23%,-0.0006
,2025-04-17,"$1,350,033.36",0.03%,$419.54,-0.20%,0.0003
,2025-04-18,"$1,353,256.82",0.24%,"$3,223.46",0.00%,0.0024
,2025-04-21,"$1,354,980.34",0.13%,"$1,723.53",0.00%,0.0013
,2025-04-22,"$1,352,550.55",-0.18%,"-$2,429.79",-0.18%,-0.0018
,2025-04-23,"$1,354,880.77",0.17%,"$2,330.22",-0.01%,0.0017
,2025-04-24,"$1,353,176.09",-0.13%,"-$1,704.68",-0.13%,-0.0013
,2025-04-25,"$1,357,261.86",0.30%,"$4,085.77",0.00%,0.0030
,2025-04-28,"$1,360,456.90",0.24%,"$3,195.05",0.00%,0.0024
,2025-04-29,"$1,361,948.41",0.11%,"$1,491.51",0.00%,0.0011
,2025-04-30,"$1,363,132.08",0.09%,"$1,183.67",0.00%,0.0009
,2025-05-01,"$1,363,461.54",0.02%,$329.45,0.00%,0.0002
,2025-05-02,"$1,365,864.05",0.18%,"$2,402.51",0.00%,0.0018
,2025-05-05,"$1,365,815.72",0.00%,-$48.33,0.00%,0.0000
,2025-05-06,"$1,367,186.03",0.10%,"$1,370.31",0.00%,0.0010
,2025-05-07,"$1,370,048.07",0.21%,"$2,862.04",0.00%,0.0021
,2025-05-08,"$1,369,551.28",-0.04%,-$496.80,-0.04%,-0.0004
,2025-05-09,"$1,368,927.07",-0.05%,-$624.21,-0.08%,-0.0005
,2025-05-12,"$1,366,947.35",-0.14%,"-$1,979.72",-0.23%,-0.0014
,2025-05-13,"$1,365,274.64",-0.12%,"-$1,672.71",-0.35%,-0.0012
,2025-05-14,"$1,361,817.39",-0.25%,"-$3,457.25",-0.60%,-0.0025
,2025-05-15,"$1,364,336.69",0.18%,"$2,519.30",-0.42%,0.0018
,2025-05-16,"$1,369,382.59",0.37%,"$5,045.90",-0.05%,0.0037
,2025-05-19,"$1,373,547.35",0.30%,"$4,164.76",0.00%,0.0030
,2025-05-20,"$1,370,545.16",-0.22%,"-$3,002.19",-0.22%,-0.0022
,2025-05-21,"$1,373,068.93",0.18%,"$2,523.77",-0.03%,0.0018
,2025-05-22,"$1,377,237.33",0.30%,"$4,168.40",0.00%,0.0030
,2025-05-23,"$1,376,985.63",-0.02%,-$251.70,-0.02%,-0.0002
,2025-05-26,"$1,378,050.78",0.08%,"$1,065.15",0.00%,0.0008
,2025-05-27,"$1,374,137.45",-0.28%,"-$3,913.33",-0.28%,-0.0028
,2025-05-28,"$1,375,589.48",0.11%,"$1,452.02",-0.18%,0.0011
,2025-05-29,"$1,373,908.35",-0.12%,"-$1,681.13",-0.30%,-0.0012
,2025-05-30,"$1,375,202.20",0.09%,"$1,293.86",-0.21%,0.0009
,2025-06-02,"$1,372,349.24",-0.21%,"-$2,852.96",-0.41%,-0.0021
,2025-06-03,"$1,374,448.49",0.15%,"$2,099.25",-0.26%,0.0015
,2025-06-04,"$1,377,684.97",0.24%,"$3,236.48",-0.03%,0.0024
,2025-06-05,"$1,376,662.97",-0.07%,"-$1,022.00",-0.10%,-0.0007
,2025-06-06,"$1,374,807.52",-0.13%,"-$1,855.45",-0.24%,-0.0013
,2025-06-09,"$1,370,554.55",-0.31%,"-$4,252.97",-0.54%,-0.0031
,2025-06-10,"$1,370,751.08",0.01%,$196.53,-0.53%,0.0001
,2025-06-11,"$1,370,207.57",-0.04%,-$543.51,-0.57%,-0.0004
,2025-06-12,"$1,367,388.87",-0.21%,"-$2,818.70",-0.77%,-0.0021
,2025-06-13,"$1,369,270.09",0.14%,"$1,881.23",-0.64%,0.0014
,2025-06-16,"$1,369,035.90",-0.02%,-$234.20,-0.65%,-0.0002
,2025-06-17,"$1,367,334.22",-0.12%,"-$1,701.67",-0.78%,-0.0012
,2025-06-18,"$1,366,855.35",-0.04%,-$478.87,-0.81%,-0.0004
,2025-06-19,"$1,370,183.51",0.24%,"$3,328.16",-0.57%,0.0024
,2025-06-20,"$1,372,420.46",0.16%,"$2,236.95",-0.41%,0.0016
,2025-06-23,"$1,372,937.90",0.04%,$517.44,-0.37%,0.0004
,2025-06-24,"$1,375,217.36",0.17%,"$2,279.47",-0.21%,0.0017
,2025-06-25,"$1,373,307.35",-0.14%,"-$1,910.01",-0.34%,-0.0014
,2025-06-26,"$1,374,207.16",0.07%,$899.80,-0.28%,0.0007
,2025-06-27,"$1,375,378.15",0.09%,"$1,170.99",-0.19%,0.0009
,2025-06-30,"$1,375,096.10",-0.02%,-$282.05,-0.21%,-0.0002
,2025-07-01,"$1,376,946.57",0.13%,"$1,850.47",-0.08%,0.0013
,2025-07-02,"$1,375,931.59",-0.07%,"-$1,014.97",-0.15%,-0.0007
,2025-07-03,"$1,377,958.45",0.15%,"$2,026.86",-0.01%,0.0015
,2025-07-04,"$1,380,087.53",0.15%,"$2,129.07",0.00%,0.0015
,2025-07-07,"$1,374,018.83",-0.44%,"-$6,068.70",-0.44%,-0.0044
,2025-07-08,"$1,377,644.52",0.26%,"$3,625.69",-0.18%,0.0026
,2025-07-09,"$1,371,278.67",-0.46%,"-$6,365.85",-0.64%,-0.0046
,2025-07-10,"$1,370,654.01",-0.05%,-$624.66,-0.68%,-0.0005
,2025-07-11,"$1,373,883.51",0.24%,"$3,229.51",-0.45%,0.0024
,2025-07-14,"$1,373,960.79",0.01%,$77.28,-0.44%,0.0001
,2025-07-15,"$1,371,334.04",-0.19%,"-$2,626.75",-0.63%,-0.0019
,2025-07-16,"$1,369,587.22",-0.13%,"-$1,746.82",-0.76%,-0.0013
,2025-07-17,"$1,372,817.86",0.24%,"$3,230.65",-0.53%,0.0024
,2025-07-18,"$1,369,122.55",-0.27%,"-$3,695.31",-0.79%,-0.0027
,2025-07-21,"$1,372,591.52",0.25%,"$3,468.97",-0.54%,0.0025
,2025-07-22,"$1,373,285.19",0.05%,$693.67,-0.49%,0.0005
,2025-07-23,"$1,371,303.80",-0.14%,"-$1,981.39",-0.64%,-0.0014
,2025-07-24,"$1,370,756.49",-0.04%,-$547.31,-0.68%,-0.0004
,2025-07-25,"$1,369,190.07",-0.11%,"-$1,566.42",-0.79%,-0.0011
,2025-07-28,"$1,372,042.92",0.21%,"$2,852.85",-0.58%,0.0021
,2025-07-29,"$1,374,587.24",0.19%,"$2,544.33",-0.40%,0.0019
,2025-07-30,"$1,371,363.62",-0.23%,"-$3,223.62",-0.63%,-0.0023
,2025-07-31,"$1,371,238.01",-0.01%,-$125.61,-0.64%,-0.0001
,2025-08-01,"$1,370,032.87",-0.09%,"-$1,205.15",-0.73%,-0.0009
,2025-08-04,"$1,373,890.25",0.28%,"$3,857.38",-0.45%,0.0028
,2025-08-05,"$1,371,536.83",-0.17%,"-$2,353.41",-0.62%,-0.0017
,2025-08-06,"$1,376,128.46",0.33%,"$4,591.63",-0.29%,0.0033
,2025-08-07,"$1,376,875.32",0.05%,$746.86,-0.23%,0.0005
,2025-08-08,"$1,374,960.60",-0.14%,"-$1,914.72",-0.37%,-0.0014
,2025-08-11,"$1,374,190.06",-0.06%,-$770.54,-0.43%,-0.0006
,2025-08-12,"$1,373,127.25",-0.08%,"-$1,062.81",-0.50%,-0.0008
,2025-08-13,"$1,370,952.68",-0.16%,"-$2,174.56",-0.66%,-0.0016
,2025-08-14,"$1,371,997.62",0.08%,"$1,044.94",-0.59%,0.0008
,2025-08-15,"$1,369,934.61",-0.15%,"-$2,063.01",-0.74%,-0.0015
,2025-08-18,"$1,365,639.59",-0.31%,"-$4,295.02",-1.05%,-0.0031
,2025-08-19,"$1,365,570.45",-0.01%,-$69.14,-1.05%,-0.0001
,2025-08-20,"$1,362,172.19",-0.25%,"-$3,398.26",-1.30%,-0.0025
,2025-08-21,"$1,361,234.08",-0.07%,-$938.11,-1.37%,-0.0007
,2025-08-22,"$1,359,930.65",-0.10%,"-$1,303.42",-1.46%,-0.0010
,2025-08-25,"$1,358,716.74",-0.09%,"-$1,213.92",-1.55%,-0.0009
,2025-08-26,"$1,364,188.84",0.40%,"$5,472.10",-1.15%,0.0040
,2025-08-27,"$1,365,138.85",0.07%,$950.01,-1.08%,0.0007
,2025-08-28,"$1,366,531.40",0.10%,"$1,392.55",-0.98%,0.0010
,2025-08-29,"$1,363,192.68",-0.24%,"-$3,338.72",-1.22%,-0.0024
,2025-09-01,"$1,362,483.17",-0.05%,-$709.51,-1.28%,-0.0005
,2025-09-02,"$1,363,802.84",0.10%,"$1,319.66",-1.18%,0.0010
,2025-09-03,"$1,362,227.30",-0.12%,"-$1,575.54",-1.29%,-0.0012
,2025-09-04,"$1,365,163.26",0.22%,"$2,935.97",-1.08%,0.0022
,2025-09-05,"$1,363,169.50",-0.15%,"-$1,993.76",-1.23%,-0.0015
,2025-09-08,"$1,363,318.38",0.01%,$148.88,-1.22%,0.0001
,2025-09-09,"$1,362,767.40",-0.04%,-$550.98,-1.26%,-0.0004
,2025-09-10,"$1,363,968.33",0.09%,"$1,200.93",-1.17%,0.0009
,2025-09-11,"$1,363,289.89",-0.05%,-$678.43,-1.22%,-0.0005
,2025-09-12,"$1,363,474.92",0.01%,$185.03,-1.20%,0.0001
,2025-09-15,"$1,363,741.17",0.02%,$266.25,-1.18%,0.0002
,2025-09-16,"$1,362,843.49",-0.07%,-$897.68,-1.25%,-0.0007
,2025-09-17,"$1,364,793.34",0.14%,"$1,949.85",-1.11%,0.0014
,2025-09-18,"$1,366,169.22",0.10%,"$1,375.87",-1.01%,0.0010
,2025-09-19,"$1,366,781.21",0.04%,$612.00,-0.96%,0.0004
,2025-09-22,"$1,366,593.12",-0.01%,-$188.09,-0.98%,-0.0001
,2025-09-23,"$1,369,277.44",0.20%,"$2,684.31",-0.78%,0.0020
,2025-09-24,"$1,369,545.51",0.02%,$268.07,-0.76%,0.0002
,2025-09-25,"$1,369,647.39",0.01%,$101.88,-0.76%,0.0001
,2025-09-26,"$1,370,714.47",0.08%,"$1,067.08",-0.68%,0.0008
,2025-09-29,"$1,375,520.21",0.35%,"$4,805.74",-0.33%,0.0035
,2025-09-30,"$1,373,186.96",-0.17%,"-$2,333.25",-0.50%,-0.0017
,2025-10-01,"$1,375,821.45",0.19%,"$2,634.49",-0.31%,0.0019
,2025-10-02,"$1,372,184.83",-0.26%,"-$3,636.62",-0.57%,-0.0026
,2025-10-03,"$1,373,518.52",0.10%,"$1,333.69",-0.48%,0.0010
,2025-10-06,"$1,378,048.21",0.33%,"$4,529.69",-0.15%,0.0033
,2025-10-07,"$1,380,028.25",0.14%,"$1,980.04",0.00%,0.0014
,2025-10-08,"$1,381,259.29",0.09%,"$1,231.04",0.00%,0.0009
,2025-10-09,"$1,380,761.64",-0.04%,-$497.65,-0.04%,-0.0004
,2025-10-10,"$1,381,663.20",0.07%,$901.56,0.00%,0.0007
,2025-10-13,"$1,381,895.29",0.02%,$232.09,0.00%,0.0002
,2025-10-14,"$1,380,863.54",-0.07%,"-$1,031.75",-0.07%,-0.0007
,2025-10-15,"$1,381,006.05",0.01%,$142.51,-0.06%,0.0001
,2025-10-16,"$1,382,303.63",0.09%,"$1,297.57",0.00%,0.0009
,2025-10-17,"$1,381,316.00",-0.07%,-$987.63,-0.07%,-0.0007
,2025-10-20,"$1,380,236.64",-0.08%,"-$1,079.36",-0.15%,-0.0008
,2025-10-21,"$1,377,848.37",-0.17%,"-$2,388.27",-0.32%,-0.0017
,2025-10-22,"$1,379,596.96",0.13%,"$1,748.59",-0.20%,0.0013
,2025-10-23,"$1,381,713.12",0.15%,"$2,116.16",-0.04%,0.0015
,2025-10-24,"$1,383,090.12",0.10%,"$1,377.01",0.00%,0.0010
,2025-10-27,"$1,386,206.36",0.23%,"$3,116.23",0.00%,0.0023
,2025-10-28,"$1,387,246.39",0.08%,"$1,040.04",0.00%,0.0007
,2025-10-29,"$1,389,009.96",0.13%,"$1,763.57",0.00%,0.0013
,2025-10-30,"$1,390,565.98",0.11%,"$1,556.01",0.00%,0.0011
,2025-10-31,"$1,391,181.93",0.04%,$615.95,0.00%,0.0004
,2025-11-03,"$1,390,751.31",-0.03%,-$430.62,-0.03%,-0.0003
,2025-11-04,"$1,396,860.32",0.44%,"$6,109.01",0.00%,0.0044
,2025-11-05,"$1,396,616.66",-0.02%,-$243.66,-0.02%,-0.0002
,2025-11-06,"$1,395,861.25",-0.05%,-$755.41,-0.07%,-0.0005
,2025-11-07,"$1,397,736.20",0.13%,"$1,874.94",0.00%,0.0013
,2025-11-10,"$1,399,177.52",0.10%,"$1,441.33",0.00%,0.0010
,2025-11-11,"$1,396,649.71",-0.18%,"-$2,527.82",-0.18%,-0.0018
,2025-11-12,"$1,400,173.32",0.25%,"$3,523.61",0.00%,0.0025
,2025-11-13,"$1,400,787.16",0.04%,$613.84,0.00%,0.0004
,2025-11-14,"$1,398,961.57",-0.13%,"-$1,825.59",-0.13%,-0.0013
,2025-11-17,"$1,402,649.43",0.26%,"$3,687.86",0.00%,0.0026
,2025-11-18,"$1,404,994.02",0.17%,"$2,344.59",0.00%,0.0017
,2025-11-19,"$1,402,793.24",-0.16%,"-$2,200.78",-0.16%,-0.0016
,2025-11-20,"$1,407,905.12",0.36%,"$5,111.88",0.00%,0.0036
,2025-11-21,"$1,410,338.37",0.17%,"$2,433.25",0.00%,0.0017
,2025-11-24,"$1,411,159.60",0.06%,$821.23,0.00%,0.0006
,2025-11-25,"$1,411,616.94",0.03%,$457.34,0.00%,0.0003
,2025-11-26,"$1,411,043.46",-0.04%,-$573.48,-0.04%,-0.0004
,2025-11-27,"$1,411,441.77",0.03%,$398.31,-0.01%,0.0003
,2025-11-28,"$1,410,452.25",-0.07%,-$989.52,-0.08%,-0.0007
,2025-12-01,"$1,409,315.47",-0.08%,"-$1,136.78",-0.16%,-0.0008
,2025-12-02,"$1,408,866.08",-0.03%,-$449.39,-0.19%,-0.0003
,2025-12-03,"$1,410,754.88",0.13%,"$1,888.80",-0.06%,0.0013
,2025-12-04,"$1,411,568.84",0.06%,$813.96,0.00%,0.0006
,2025-12-05,"$1,411,351.73",-0.02%,-$217.11,-0.02%,-0.0002
,2025-12-08,"$1,411,324.27",0.00%,-$27.46,-0.02%,0.0000
,2025-12-09,"$1,412,394.12",0.08%,"$1,069.85",0.00%,0.0008
,2025-12-10,"$1,414,447.86",0.15%,"$2,053.74",0.00%,0.0015
,2025-12-11,"$1,415,390.64",0.07%,$942.78,0.00%,0.0007
,2025-12-12,"$1,415,518.89",0.01%,$128.25,0.00%,0.0001
,2025-12-15,"$1,416,544.96",0.07%,"$1,026.07",0.00%,0.0007
,2025-12-16,"$1,417,810.63",0.09%,"$1,265.67",0.00%,0.0009
,2025-12-17,"$1,417,046.21",-0.05%,-$764.42,-0.05%,-0.0005
,2025-12-18,"$1,415,277.01",-0.12%,"-$1,769.20",-0.18%,-0.0012
,2025-12-19,"$1,413,047.01",-0.16%,"-$2,230.00",-0.34%,-0.0016
,2025-12-22,"$1,414,824.22",0.13%,"$1,777.21",-0.21%,0.0013
,2025-12-23,"$1,417,990.61",0.22%,"$3,166.39",0.00%,0.0022
,2025-12-24,"$1,418,993.71",0.07%,"$1,003.10",0.00%,0.0007
,2025-12-25,"$1,418,960.56",0.00%,-$33.15,0.00%,0.0000
,2025-12-26,"$1,418,814.79",-0.01%,-$145.77,-0.01%,-0.0001
,2025-12-29,"$1,418,292.35",-0.04%,-$522.44,-0.05%,-0.0004
,2025-12-30,"$1,420,914.89",0.18%,"$2,622.54",0.00%,0.0018
,2025-12-31,"$1,420,792.85",-0.01%,-$122.04,-0.01%,-0.0001
