policy,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_dd,max_dd_date,avg_dd,longest_dd_days,pct_time_in_dd,calmar,best_day,worst_day,worst_day_date,worst_day_pnl,worst_5d,win_rate,profit_factor,avg_leverage,max_leverage,days_above_base,days_at_cap,min_notional,max_notional,final_notional
Unlevered 1x,1081923.3959504466,0.08192339595044662,0.07898975772747718,0.025510973097632554,2.9932534312400145,4.798085455799052,-0.015485097528561087,2025-08-25,-0.004239984146535116,67,0.7509578544061303,5.101017774139722,0.004392596976953378,-0.004620821922915241,2025-07-09,-4847.548360136528,-0.007845159381544842,0.5900383141762452,1.6000062343276857,1.0,1.0,0,0,998083.1705534791,1082016.328520625,1082016.328520625
Static 30x,7860658.4044998465,6.860658404499847,6.321179077428136,0.7653291929289766,2.993253431240014,4.798085455799051,-0.41304194671317995,2025-08-25,-0.1331624082223951,80,0.7777777777777778,15.303963986538198,0.13177790930860134,-0.13862465768745724,2025-07-09,-500707.45365580084,-0.21723527631264272,0.5900383141762452,1.6000062343276857,30.0,30.0,0,0,28084388.068620775,236428946.72210938,236428946.72210938
Static 35x,10436471.476838758,9.436471476838758,8.625674009910762,0.8928840584171395,2.9932534312400136,4.79808545579905,-0.47010292332524894,2025-08-25,-0.15711437383833415,80,0.7777777777777778,18.348479836920603,0.15374089419336823,-0.16172876730203345,2025-07-09,-707088.2360855485,-0.24993560684537774,0.5900383141762452,1.6000062343276853,35.0,35.0,0,0,32348771.81017394,366377867.0366208,366377867.0366208
Static 33.78x (avg-matched),9755452.607604634,8.755452607604633,8.018523542429053,0.8618019606292919,2.9932534312400145,4.798085455799052,-0.45653076773966084,2025-08-25,-0.15125547064307046,80,0.7777777777777778,17.5640375393092,0.14838903527925498,-0.1560988433348599,2025-07-09,-651977.7063219434,-0.24205601255649845,0.5900383141762452,1.600006234327686,33.781618495347324,33.781618495347324,0,0,31321697.069450118,330513946.8171805,330513946.8171805
Dynamic 30→60x,10094727.323019749,9.094727323019749,8.321174553531083,0.8693495378182016,3.009712765726763,5.019549593037738,-0.4660173857608899,2025-08-25,-0.1274909590007274,66,0.7471264367816092,17.85593157633955,0.2262659673591818,-0.1463454702403508,2025-07-09,-594223.3570627753,-0.28589248810709533,0.5900383141762452,1.6139964380254834,33.781618495347324,56.181604419364874,194,0,30000000.0,303624152.78880405,303624152.78880405
