,unlevered_ret,static35_ret,static35_equity,static35_notional,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,static35_drawdown,dyn_drawdown
2025-01-01,0.001985904450133802,0.06950665575468307,1069506.655754683,35000000.0,30.0,0.05957713350401406,1059577.133504014,1059577.133504014,30000000.0,30000000.0,False,0.0,0.0
2025-01-02,0.0007632513831012933,0.026713798408545264,1098077.240953111,37432732.95141391,30.0,0.022897541493038798,1083838.8448834973,1083838.8448834973,31787314.00512042,31787314.00512042,False,0.0,0.0
2025-01-03,-0.0035737468686172225,-0.1250811404016028,960728.4874056503,38432703.433358885,30.0,-0.10721240605851667,967637.8745438542,1083838.8448834973,32515165.34650492,32515165.34650492,False,-0.1250811404016029,-0.10721240605851667
2025-01-06,-0.0010848275103146898,-0.037968962861014144,924250.6231478269,33625497.05919776,33.60261746868126,-0.0364530438486064,932364.5286735347,1083838.8448834973,32515165.34650492,32515165.34650492,False,-0.15830090208809522,-0.13975723136795737
2025-01-07,0.001777891529306297,0.06222620352572039,981763.2305325975,32348771.81017394,34.873876414800876,0.06200196947194913,990172.9657170795,1083838.8448834973,32515165.34650492,32515165.34650492,False,-0.10592516271401375,-0.08642048548876846
2025-01-08,0.0026774239676847778,0.09370983886896722,1073764.1046732839,34361713.06864091,32.837864163416704,0.08792088455870893,1077229.8487290454,1083838.8448834973,32515165.34650492,32515165.34650492,False,-0.022141553775145928,-0.006097766458225018
2025-01-09,0.0024997668127972883,0.08749183844790509,1167709.7002505183,37581743.663564935,30.18405532010414,0.07545309976483376,1158510.1799748547,1158510.1799748547,32515165.34650492,32515165.34650492,False,0.0,0.0
2025-01-10,-0.0021273499923293304,-0.07445724973152656,1080765.2474850395,40869839.50876814,30.0,-0.06382049976987991,1084573.4813003659,1158510.1799748547,34755305.39924564,34755305.39924564,False,-0.07445724973152645,-0.06382049976987991
2025-01-13,0.001116313841658334,0.03907098445804169,1122991.809672319,37826783.66197638,32.045136635256135,0.03577242958376899,1123371.3097886064,1158510.1799748547,34755305.39924564,34755305.39924564,False,-0.03829538332053373,-0.030331084520130003
2025-01-14,0.0023393386344436884,0.0818768522055291,1214938.8441008793,39304713.33853117,30.93839507596631,0.07237538288889035,1204675.738460951,1204675.738460951,34755305.39924564,34755305.39924564,False,0.0,0.0
